Time Stamp, NXCNC1-INST (PPB), NOCNC1-INST (PPB), N2CNC1-INST (PPB)
03/11/2015 12:04:01,      309.3,      309.3,        0.0
03/11/2015 12:05:01,      317.3,      315.2,        2.1
03/11/2015 12:06:01,      283.6,      227.7,       55.8
03/11/2015 12:07:01,      193.6,      184.9,        8.7
03/11/2015 12:08:01,      239.4,      239.4,        0.0
03/11/2015 12:09:01,      348.5,      348.5,        0.0
03/11/2015 12:10:01,      353.6,      353.6,        0.0
03/11/2015 12:11:01,      348.2,      348.2,        0.0
03/11/2015 12:12:01,      344.6,      348.6,       -4.0
03/11/2015 12:13:01,      340.7,      350.6,       -9.9
03/11/2015 12:14:01,      338.9,      348.9,      -10.0
03/11/2015 12:15:01,      341.2,      347.2,       -6.0
03/11/2015 12:16:01,      369.3,      362.4,        6.9
03/11/2015 12:17:01,       11.0,        9.6,        1.3
03/11/2015 12:18:01,        1.3,        1.3,        0.0
03/11/2015 12:19:01,        1.1,        1.1,        0.0
03/11/2015 12:20:01,      335.6,      323.1,       12.6
03/11/2015 12:21:01,      349.0,      349.0,        0.0
03/11/2015 12:22:01,      347.4,      347.4,        0.0
03/11/2015 12:23:01,      348.7,      348.7,        0.0
03/11/2015 12:24:01,      337.2,      345.9,       -8.7
03/11/2015 12:25:01,      335.8,      340.8,       -5.0
03/11/2015 12:26:01,      336.4,      338.0,       -1.6
03/11/2015 12:27:01,      334.3,      338.8,       -4.5
03/11/2015 12:28:01,      331.5,      341.0,       -9.5
03/11/2015 12:29:01,      336.0,      344.8,       -8.8
03/11/2015 12:30:01,      337.7,      345.9,       -8.2
03/11/2015 12:31:01,      334.7,      344.9,      -10.2
03/11/2015 12:32:01,      334.8,      345.4,      -10.6
03/11/2015 12:33:01,      338.5,      343.4,       -4.9
03/11/2015 12:34:01,      336.7,      342.1,       -5.5
03/11/2015 12:35:01,      337.3,      342.4,       -5.1
03/11/2015 12:36:01,      336.5,      342.7,       -6.2
03/11/2015 12:37:01,      336.9,      343.6,       -6.7
03/11/2015 12:38:01,      332.3,      341.3,       -9.1
03/11/2015 12:39:01,      332.7,      340.1,       -7.4
03/11/2015 12:40:01,      334.9,      338.9,       -4.1
03/11/2015 12:41:01,      334.2,      341.5,       -7.2
03/11/2015 12:42:01,      333.0,      340.8,       -7.9
